player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Felipe Lopez,MIN,26.0,195.58,88.45044,70,7.9,3.3,1.5,-4.7,0.04,0.131,0.18,0.503,0.114,2000-01
Matt Maloney,ATL,29.0,190.5,90.7184,55,6.7,2.1,2.8,-2.8,0.011,0.081,0.14,0.508,0.187,2000-01
Matt Harpring,CLE,25.0,200.66,104.779752,56,11.1,4.3,1.8,-4.9,0.065,0.105,0.191,0.522,0.11,2000-01
Matt Geiger,PHI,31.0,215.9,112.490816,35,6.1,4.0,0.4,4.0,0.1,0.191,0.2269999999999999,0.43,0.047,2000-01
Matt Bullard,HOU,34.0,208.28,106.59412,61,5.8,2.1,0.7,7.9,0.027,0.118,0.151,0.569,0.067,2000-01
Mateen Cleaves,DET,23.0,187.96,92.98636,78,5.4,1.7,2.7,-2.4,0.022,0.091,0.205,0.4579999999999999,0.281,2000-01
Mark Strickland,NJN,30.0,208.28,99.79024,55,4.5,2.9,0.4,-8.3,0.078,0.173,0.183,0.465,0.059,2000-01
Mark Pope,MIL,28.0,208.28,106.59412,63,2.4,2.3,0.6,6.4,0.066,0.105,0.083,0.48,0.052,2000-01
Maurice Taylor,HOU,24.0,205.74,117.93392,69,13.0,5.5,1.5,-3.5,0.065,0.16,0.231,0.518,0.096,2000-01
Mark Madsen,LAL,25.0,205.74,108.86208,70,2.0,2.2,0.3,-5.1,0.127,0.1369999999999999,0.108,0.53,0.06,2000-01
Michael Smith,WAS,29.0,203.2,108.86208,79,3.8,7.1,1.3,-11.7,0.119,0.29,0.095,0.527,0.099,2000-01
Mike Bibby,VAN,23.0,185.42,86.18248,82,15.9,3.7,8.4,-6.8,0.017,0.091,0.211,0.525,0.376,2000-01
Olumide Oyedeji,SEA,20.0,208.28,108.86208,30,1.5,2.2,0.1,11.6,0.1369999999999999,0.2189999999999999,0.114,0.532,0.0139999999999999,2000-01
Olden Polynice,UTA,36.0,213.36,113.398,81,5.3,4.7,0.4,3.2,0.122,0.165,0.15,0.484,0.0289999999999999,2000-01
Obinna Ekezie,DAL,25.0,205.74,117.93392,33,3.1,2.4,0.3,-11.1,0.133,0.201,0.193,0.484,0.06,2000-01
Nick Van Exel,DEN,29.0,185.42,86.18248,71,17.7,3.4,8.5,-0.4,0.018,0.08,0.2339999999999999,0.515,0.3829999999999999,2000-01
Nick Anderson,SAC,33.0,198.12,103.418976,21,1.8,1.2,0.6,0.9,0.019,0.136,0.171,0.3329999999999999,0.125,2000-01
Nazr Mohammed,ATL,23.0,208.28,108.86208,58,7.6,5.3,0.3,-2.0,0.135,0.233,0.23,0.52,0.034,2000-01
Muggsy Bogues,TOR,36.0,160.02,61.688512,3,0.0,1.0,1.7,-27.4,0.0,0.12,0.078,0.0,0.294,2000-01
