quadruplet
"(Elliot Perry, ast_pct, age, net_rating)"
"(Eldridge Recasner, age, ast_pct, net_rating)"
"(Elden Campbell, player_weight, reb, dreb_pct)"
"(Eduardo Najera, oreb_pct, player_weight, ts_pct)"
"(Eddie Robinson, ts_pct, gp, net_rating)"
"(Eddie Jones, pts, usg_pct, ts_pct)"
"(Eddie House, usg_pct, ast_pct, net_rating)"
"(Elton Brand, reb, pts, usg_pct)"
"(Chris Whitney, ast_pct, ast, ts_pct)"
"(Derek Fisher, ast, net_rating, pts)"
"(DerMarr Johnson, gp, player_height, nan)"
"(Dan Langhi, player_height, usg_pct, nan)"
"(Damon Stoudamire, ast, ast_pct, gp)"
"(Damon Jones, ast_pct, ast, gp)"
"(Dalibor Bagaric, player_weight, player_height, oreb_pct)"
"(Dale Davis, oreb_pct, reb, gp)"
"(Cuttino Mobley, pts, usg_pct, gp)"
"(Courtney Alexander, usg_pct, gp, pts)"
"(Dan Majerle, age, net_rating, nan)"
"(Cory Alexander, ast_pct, age, nan)"
"(Corie Blount, oreb_pct, age, reb)"
"(Corey Maggette, usg_pct, ts_pct, gp)"
"(Corey Benjamin, usg_pct, gp, ast_pct)"
"(Clifford Robinson, age, pts, usg_pct)"
"(Clar. Weatherspoon, reb, dreb_pct, player_weight)"
"(Chucky Brown, age, dreb_pct, player_height)"
"(Chucky Atkins, ast, gp, ast_pct)"
"(Corliss Williamson, player_weight, usg_pct, pts)"
"(Derek Anderson, net_rating, pts, ast)"
"(Dan McClintock, oreb_pct, player_weight, player_height)"
"(Daniel Santiago, player_height, player_weight, ts_pct)"
"(Dell Curry, age, gp, ts_pct)"
"(Dee Brown, age, ts_pct, ast_pct)"
"(Dean Garrett, age, dreb_pct, player_height)"
"(DeShawn Stevenson, usg_pct, nan, nan)"
"(David Wingate, net_rating, ts_pct, age)"
"(David Wesley, pts, ast, gp)"
"(David Vanterpool, ast_pct, ast, net_rating)"
"(Dana Barros, age, ast_pct, ts_pct)"
"(Othella Harrington, oreb_pct, gp, reb)"
"(Darvin Ham, oreb_pct, ts_pct, net_rating)"
"(Darrick Martin, usg_pct, ts_pct, age)"
"(Darrell Armstrong, ast, ast_pct, pts)"
"(Darius Miles, gp, reb, dreb_pct)"
"(Danny Manning, age, gp, usg_pct)"
"(Danny Fortson, reb, dreb_pct, oreb_pct)"
"(Danny Ferry, net_rating, age, gp)"
"(David Benoit, age, ts_pct, dreb_pct)"
"(Otis Thorpe, age, player_weight, oreb_pct)"
"(Milt Palacio, ast_pct, ts_pct, ast)"
"(Pat Garrity, gp, player_weight, player_height)"
"(Tony Massenburg, age, oreb_pct, player_weight)"
"(Tony Delk, gp, pts, usg_pct)"
"(Tony Battie, dreb_pct, player_height, reb)"
"(Toni Kukoc, player_height, age, ast_pct)"
"(Tom Hammonds, net_rating, age, player_height)"
"(Tom Gugliotta, age, player_height, dreb_pct)"
"(Todd MacCulloch, oreb_pct, player_height, ts_pct)"
"(Todd Fuller, usg_pct, player_weight, dreb_pct)"
"(Todd Day, age, usg_pct, ts_pct)"
"(Tim Thomas, net_rating, gp, pts)"
"(Tim James, oreb_pct, net_rating, nan)"
"(Tim Hardaway, ast, ast_pct, age)"
"(Tim Duncan, reb, pts, usg_pct)"
"(Theo Ratliff, reb, net_rating, ts_pct)"
"(Terry Porter, age, net_rating, ast_pct)"
"(Terry Mills, age, player_height, dreb_pct)"
"(Terry Davis, player_weight, age, oreb_pct)"
"(Terrell Brandon, ast, ast_pct, pts)"
"(Terrance Roberson, nan, nan, nan)"
"(Tariq Abdul-Wahad, nan, nan, nan)"
"(Stromile Swift, gp, oreb_pct, player_height)"
"(Steven Smith, ts_pct, gp, age)"
"(Steve Nash, ast, ast_pct, pts)"
"(Steve Kerr, age, ts_pct, net_rating)"
"(Steve Goodrich, player_height, oreb_pct, nan)"
"(Steve Francis, ast, pts, ast_pct)"
"(Stephon Marbury, ast, pts, ast_pct)"
"(Tony Smith, age, ast_pct, usg_pct)"
"(Tracy McGrady, pts, usg_pct, ast)"
"(Tracy Murray, usg_pct, age, player_weight)"
"(Trajan Langdon, ts_pct, gp, nan)"
"(P.J. Brown, reb, oreb_pct, dreb_pct)"
"(Zydrunas Ilgauskas, player_height, oreb_pct, reb)"
"(Zendon Hamilton, dreb_pct, usg_pct, oreb_pct)"
"(Zan Tabak, player_height, player_weight, dreb_pct)"
"(William Avery, ast_pct, usg_pct, gp)"
"(Will Perdue, dreb_pct, oreb_pct, ts_pct)"
"(Wesley Person, age, ts_pct, dreb_pct)"
"(Wang Zhi-zhi, usg_pct, player_height, dreb_pct)"
"(Walter McCarty, player_height, gp, player_weight)"
"(Walt Williams, age, gp, net_rating)"
"(Wally Szczerbiak, gp, pts, ts_pct)"
"(Voshon Lenard, gp, pts, ast)"
"(Vonteego Cummings, ast_pct, ast, gp)"
"(Stephen Jackson, gp, usg_pct, player_height)"
"(Vladimir Stepania, dreb_pct, oreb_pct, player_height)"
"(Vitaly Potapenko, player_weight, oreb_pct, gp)"
"(Vinny Del Negro, age, ast_pct, gp)"
"(Vince Carter, pts, usg_pct, ast)"
"(Vin Baker, usg_pct, player_height, player_weight)"
"(Vernon Maxwell, age, net_rating, usg_pct)"
"(Tyus Edney, ast_pct, usg_pct, ast)"
"(Tyronn Lue, ast_pct, ts_pct, nan)"
"(Tyrone Nesby, player_weight, gp, pts)"
"(Tyrone Hill, reb, oreb_pct, dreb_pct)"
"(Tyrone Corbin, age, nan, nan)"
"(Troy Hudson, ast_pct, gp, usg_pct)"
"(Travis Knight, player_height, oreb_pct, player_weight)"
"(Travis Best, ast, ast_pct, gp)"
"(Vlade Divac, reb, player_height, player_weight)"
"(Stacey Augmon, age, net_rating, gp)"
"(Ruben Wolkowyski, player_weight, player_height, net_rating)"
"(Slava Medvedenko, usg_pct, player_weight, player_height)"
"(Robert Traylor, player_weight, oreb_pct, gp)"
"(Robert Pack, ast_pct, ast, age)"
"(Robert Horry, gp, player_height, age)"
"(Ricky Davis, net_rating, ast_pct, usg_pct)"
"(Rick Fox, gp, net_rating, ast)"
"(Rick Brunson, ast_pct, age, nan)"
"(Richard Hamilton, usg_pct, pts, gp)"
"(Reggie Slater, oreb_pct, player_weight, ts_pct)"
"(Reggie Miller, pts, age, gp)"
"(Ray Allen, pts, ast, ts_pct)"
"(Rasho Nesterovic, player_height, player_weight, gp)"
"(Rasheed Wallace, pts, reb, player_height)"
"(Rashard Lewis, reb, pts, ts_pct)"
"(Randy Livingston, ast_pct, dreb_pct, nan)"
"(Randy Brown, age, ast_pct, ast)"
"(Rafer Alston, ast_pct, ast, nan)"
"(Raef LaFrentz, reb, player_height, gp)"
"(Quincy Lewis, net_rating, nan, nan)"
"(Quentin Richardson, gp, oreb_pct, usg_pct)"
"(Popeye Jones, dreb_pct, oreb_pct, player_weight)"
"(Pervis Ellison, dreb_pct, age, net_rating)"
"(Pepe Sanchez, ast_pct, net_rating, nan)"
"(Peja Stojakovic, pts, ts_pct, reb)"
"(Paul Pierce, pts, usg_pct, reb)"
"(Paul McPherson, ts_pct, usg_pct, oreb_pct)"
"(Patrick Ewing, age, dreb_pct, reb)"
"(Soumaila Samake, player_height, oreb_pct, dreb_pct)"
"(Rod Strickland, ast_pct, ast, age)"
"(Rodney Buford, usg_pct, net_rating, nan)"
"(Raja Bell, net_rating, nan, nan)"
